locale_id,article_id,title,content
1,1,"12 seemingly normal photographs with creepy backstories","It was one of the Best holidays i've ever had ! Goebbels be like: 'I see what jew did there.'
the jew was l I bet you did nazi that coming. Second one is a lie. I have reviewed the case study a few times and the evidence wasn't suggesting that the husband purposely killed his wife, she was not ready for such an difficult dive as she was only a novice and ended up panicking from the current which lead to increased respiration and resulted in death from hypoxia (lack of oxygen, in this case from drowning). After being introduced to this evidence the judge dismissed the case due to lack of evidence supporting the accusation of murder"
2,1,"12 seemingly normal photographs with creepy backstories","It was one of the Best holidays i've ever had ! Goebbels be like: 'I see what jew did there.'
the jew was l I bet you did nazi that coming. Second one is a lie. I have reviewed the case study a few times and the evidence wasn't suggesting that the husband purposely killed his wife, she was not ready for such an difficult dive as she was only a novice and ended up panicking from the current which lead to increased respiration and resulted in death from hypoxia (lack of oxygen, in this case from drowning). After being introduced to this evidence the judge dismissed the case due to lack of evidence supporting the accusation of murder"
3,1,"12 seemingly normal photographs with creepy backstories","It was one of the Best holidays i've ever had ! Goebbels be like: 'I see what jew did there.'
the jew was l I bet you did nazi that coming. Second one is a lie. I have reviewed the case study a few times and the evidence wasn't suggesting that the husband purposely killed his wife, she was not ready for such an difficult dive as she was only a novice and ended up panicking from the current which lead to increased respiration and resulted in death from hypoxia (lack of oxygen, in this case from drowning). After being introduced to this evidence the judge dismissed the case due to lack of evidence supporting the accusation of murder"
1,2,"GitHub Privacy Statement","Thanks for entrusting GitHub with your source code, your projects, and your personal information. Holding onto your private information is a serious responsibility, and we want you to know how we're handling it. We collect your information only with your consent; we only collect the minimum amount of personal information that is necessary to fulfill the purpose of your interaction with us; we don't sell it to third parties; and we only use it as this Privacy Statement describes. If you're visiting us from the EU: we comply with the Privacy Shield framework. If you're just browsing the website, we collect the same basic information that most websites collect. We use common internet technologies, such as cookies and web server logs. This is stuff we collect from everybody, whether they have an account or not."
2,2,"GitHub Privacy Statement","Thanks for entrusting GitHub with your source code, your projects, and your personal information. Holding onto your private information is a serious responsibility, and we want you to know how we're handling it. We collect your information only with your consent; we only collect the minimum amount of personal information that is necessary to fulfill the purpose of your interaction with us; we don't sell it to third parties; and we only use it as this Privacy Statement describes. If you're visiting us from the EU: we comply with the Privacy Shield framework. If you're just browsing the website, we collect the same basic information that most websites collect. We use common internet technologies, such as cookies and web server logs. This is stuff we collect from everybody, whether they have an account or not."
3,2,"GitHub Privacy Statement","Thanks for entrusting GitHub with your source code, your projects, and your personal information. Holding onto your private information is a serious responsibility, and we want you to know how we're handling it. We collect your information only with your consent; we only collect the minimum amount of personal information that is necessary to fulfill the purpose of your interaction with us; we don't sell it to third parties; and we only use it as this Privacy Statement describes. If you're visiting us from the EU: we comply with the Privacy Shield framework. If you're just browsing the website, we collect the same basic information that most websites collect. We use common internet technologies, such as cookies and web server logs. This is stuff we collect from everybody, whether they have an account or not."
1,3,"Information from website browsers","If you're just browsing the website, we collect the same basic information that most websites collect. We use common internet technologies, such as cookies and web server logs. This is stuff we collect from everybody, whether they have an account or not. The information we collect about all visitors to our website includes the visitor’s browser type, language preference, referring site, additional websites requested, and the date and time of each visitor request. We also collect potentially personally-identifying information like Internet Protocol (IP) addresses."
2,3,"Information from website browsers","If you're just browsing the website, we collect the same basic information that most websites collect. We use common internet technologies, such as cookies and web server logs. This is stuff we collect from everybody, whether they have an account or not. The information we collect about all visitors to our website includes the visitor’s browser type, language preference, referring site, additional websites requested, and the date and time of each visitor request. We also collect potentially personally-identifying information like Internet Protocol (IP) addresses."
3,3,"Information from website browsers","If you're just browsing the website, we collect the same basic information that most websites collect. We use common internet technologies, such as cookies and web server logs. This is stuff we collect from everybody, whether they have an account or not. The information we collect about all visitors to our website includes the visitor’s browser type, language preference, referring site, additional websites requested, and the date and time of each visitor request. We also collect potentially personally-identifying information like Internet Protocol (IP) addresses."
1,4,"Information from users with accounts","We do not intentionally collect sensitive personal information, such as social security numbers, genetic data, health information, or religious information. Although GitHub does not request or intentionally collect any sensitive personal information, we realize that you might store this kind of information in your account, such as in a repository. If you store any sensitive personal information on our servers, you are consenting to our storage of that information on our servers, which are in the United States."
2,4,"Information from users with accounts","We do not intentionally collect sensitive personal information, such as social security numbers, genetic data, health information, or religious information. Although GitHub does not request or intentionally collect any sensitive personal information, we realize that you might store this kind of information in your account, such as in a repository. If you store any sensitive personal information on our servers, you are consenting to our storage of that information on our servers, which are in the United States."
3,4,"Information from users with accounts","We do not intentionally collect sensitive personal information, such as social security numbers, genetic data, health information, or religious information. Although GitHub does not request or intentionally collect any sensitive personal information, we realize that you might store this kind of information in your account, such as in a repository. If you store any sensitive personal information on our servers, you are consenting to our storage of that information on our servers, which are in the United States."
1,5,"Information from users with accounts","We do not intentionally collect sensitive personal information, such as social security numbers, genetic data, health information, or religious information. Although GitHub does not request or intentionally collect any sensitive personal information, we realize that you might store this kind of information in your account, such as in a repository. If you store any sensitive personal information on our servers, you are consenting to our storage of that information on our servers, which are in the United States."
2,5,"Information from users with accounts","We do not intentionally collect sensitive personal information, such as social security numbers, genetic data, health information, or religious information. Although GitHub does not request or intentionally collect any sensitive personal information, we realize that you might store this kind of information in your account, such as in a repository. If you store any sensitive personal information on our servers, you are consenting to our storage of that information on our servers, which are in the United States."
3,5,"Information from users with accounts","We do not intentionally collect sensitive personal information, such as social security numbers, genetic data, health information, or religious information. Although GitHub does not request or intentionally collect any sensitive personal information, we realize that you might store this kind of information in your account, such as in a repository. If you store any sensitive personal information on our servers, you are consenting to our storage of that information on our servers, which are in the United States."
1,6,"Information from users with accounts","We do not intentionally collect sensitive personal information, such as social security numbers, genetic data, health information, or religious information. Although GitHub does not request or intentionally collect any sensitive personal information, we realize that you might store this kind of information in your account, such as in a repository. If you store any sensitive personal information on our servers, you are consenting to our storage of that information on our servers, which are in the United States."
2,6,"Information from users with accounts","We do not intentionally collect sensitive personal information, such as social security numbers, genetic data, health information, or religious information. Although GitHub does not request or intentionally collect any sensitive personal information, we realize that you might store this kind of information in your account, such as in a repository. If you store any sensitive personal information on our servers, you are consenting to our storage of that information on our servers, which are in the United States."
3,6,"Information from users with accounts","We do not intentionally collect sensitive personal information, such as social security numbers, genetic data, health information, or religious information. Although GitHub does not request or intentionally collect any sensitive personal information, we realize that you might store this kind of information in your account, such as in a repository. If you store any sensitive personal information on our servers, you are consenting to our storage of that information on our servers, which are in the United States."
